service_date,route_short,gated_entries
2020-06-27,Green,7755.9
2020-06-27,Orange,18834.97
2020-06-27,Red,19141.73
2020-06-28,Blue,8218.7
2020-06-28,Green,5324.6
2020-06-28,Orange,13425.32
2020-06-28,Red,13995.18
2020-06-29,Blue,13160.0
2020-06-29,Green,8575.24
2020-06-29,Orange,25454.69
2020-06-29,Red,26623.17
2020-06-30,Blue,14207.9
2020-06-30,Green,9354.02
2020-06-30,Orange,27314.08
2020-06-30,Red,29205.1
2020-07-01,Blue,15436.0
2020-07-01,Green,9935.67
2020-07-01,Orange,28894.28
2020-07-01,Red,30782.85
2020-07-02,Blue,16576.0
2020-07-02,Green,10793.92
2020-07-02,Orange,30616.52
2020-07-02,Red,33133.06
2020-07-03,Blue,13998.8
2020-07-03,Green,9005.73
2020-07-03,Orange,24418.49
2020-07-03,Red,24834.38
2020-07-04,Blue,11151.0
2020-07-04,Green,7572.69
2020-07-04,Orange,17904.02
2020-07-04,Red,17851.69
2020-07-05,Blue,9615.4
2020-07-05,Green,6081.56
2020-07-05,Orange,15243.12
2020-07-05,Red,15267.82
2020-07-06,Blue,15536.0
2020-07-06,Green,9829.73
2020-07-06,Orange,29220.46
2020-07-06,Red,31198.31
2020-07-07,Blue,16681.7
2020-07-07,Green,10589.98
2020-07-07,Orange,30831.09
2020-07-07,Red,33611.03
2020-07-08,Blue,16462.6
2020-07-08,Green,10270.92
2020-07-08,Orange,30248.65
2020-07-08,Red,33108.93
2020-07-09,Blue,17675.8
2020-07-09,Green,10793.68
2020-07-09,Orange,31203.45
2020-07-09,Red,34095.17
2020-07-10,Blue,17214.7
2020-07-10,Green,11174.56
2020-07-10,Orange,30973.97
2020-07-10,Red,33611.57
2020-07-11,Blue,12226.1
2020-07-11,Green,8792.19
2020-07-11,Orange,22038.48
2020-07-11,Red,21952.43
2020-07-12,Blue,10381.4
2020-07-12,Green,6735.27
2020-07-12,Orange,16519.36
2020-07-12,Red,17480.57
2020-07-13,Blue,15042.2
2020-07-13,Green,10264.71
2020-07-13,Orange,29595.98
2020-07-13,Red,32178.41
2020-07-14,Blue,15744.7
2020-07-14,Green,10476.45
2020-07-14,Orange,30283.9
2020-07-14,Red,34308.55
2020-07-15,Blue,17557.7
2020-07-15,Green,11651.21
2020-07-15,Orange,31893.6
2020-07-15,Red,35966.29
2020-07-16,Blue,18047.2
2020-07-16,Green,11360.92
2020-07-16,Orange,32184.02
2020-07-16,Red,35806.66
2020-07-17,Blue,17579.8
2020-07-17,Green,11299.0
2020-07-17,Orange,31298.02
2020-07-17,Red,35123.78
2020-07-18,Blue,14536.2
2020-07-18,Green,9379.0
