service_date,route_short,station_name,gated_entries
2020-01-08,Green,Haymarket,4399.71
2020-01-08,Green,Hynes Convention Center,5663.0
2020-01-08,Green,Kenmore,4986.0
2020-01-08,Green,Lechmere,5466.0
2020-01-08,Green,North Station,6906.42
2020-01-08,Green,Park Street,8548.62
2020-01-08,Green,Prudential,3223.0
2020-01-08,Green,Riverside,1391.0
2020-01-08,Green,Science Park,707.0
2020-01-08,Green,Symphony,1553.0
2020-01-08,Orange,Assembly,3957.0
2020-01-08,Orange,Back Bay,16019.0
2020-01-08,Orange,Chinatown,5557.0
2020-01-08,Orange,Community College,2883.0
2020-01-08,Orange,Downtown Crossing,11911.41
2020-01-08,Orange,Forest Hills,12686.0
2020-01-08,Orange,Green Street,3204.0
2020-01-08,Orange,Haymarket,4579.29
2020-01-08,Orange,Jackson Square,5249.0
2020-01-08,Orange,Malden Center,10879.0
2020-01-08,Orange,Massachusetts Avenue,5192.0
2020-01-08,Orange,North Station,13406.58
2020-01-08,Orange,Oak Grove,6648.0
2020-01-08,Orange,Roxbury Crossing,4743.0
2020-01-08,Orange,Ruggles,9691.0
2020-01-08,Orange,State Street,12074.4
2020-01-08,Orange,Stony Brook,3391.0
2020-01-08,Orange,Sullivan Square,8247.0
2020-01-08,Orange,Tufts Medical Center,6394.0
2020-01-08,Orange,Wellington,7460.0
2020-01-08,Red,Alewife,11851.0
2020-01-08,Red,Andrew,5271.0
2020-01-08,Red,Ashmont,8656.0
2020-01-08,Red,Braintree,4570.0
2020-01-08,Red,Broadway,6398.0
2020-01-08,Red,Central,15359.0
2020-01-08,Red,Charles/MGH,10655.0
2020-01-08,Red,Davis,11672.0
2020-01-08,Red,Downtown Crossing,12397.59
2020-01-08,Red,Fields Corner,4993.0
2020-01-08,Red,Harvard,16174.0
2020-01-08,Red,JFK/UMass,6049.0
2020-01-08,Red,Kendall/MIT,16173.0
2020-01-08,Red,North Quincy,5784.0
2020-01-08,Red,Park Street,6190.38
2020-01-08,Red,Porter,8278.0
2020-01-08,Red,Quincy Adams,3972.0
2020-01-08,Red,Quincy Center,7174.0
2020-01-08,Red,Savin Hill,2190.0
2020-01-08,Red,Shawmut,2259.0
2020-01-08,Red,South Station,16530.5
2020-01-08,Red,Wollaston,3492.0
2020-01-09,Blue,Airport,7023.0
2020-01-09,Blue,Aquarium,4280.0
2020-01-09,Blue,Beachmont,3163.0
2020-01-09,Blue,Bowdoin,2313.0
2020-01-09,Blue,Government Center,689.0
2020-01-09,Blue,Maverick,10833.0
2020-01-09,Blue,Orient Heights,4323.0
2020-01-09,Blue,Revere Beach,2854.0
2020-01-09,Blue,State Street,1393.2
2020-01-09,Blue,Suffolk Downs,746.0
2020-01-09,Blue,Wonderland,6707.0
2020-01-09,Blue,Wood Island,1971.0
2020-01-09,Green,Arlington,6926.0
2020-01-09,Green,Boylston,4792.0
2020-01-09,Green,Copley,11457.0
2020-01-09,Green,Government Center,6201.0
2020-01-09,Green,Haymarket,4509.47
2020-01-09,Green,Hynes Convention Center,5905.0
2020-01-09,Green,Kenmore,5280.0
2020-01-09,Green,Lechmere,5443.0
2020-01-09,Green,North Station,6925.46
2020-01-09,Green,Park Street,8355.48
2020-01-09,Green,Prudential,3399.0
2020-01-09,Green,Riverside,1369.0
2020-01-09,Green,Science Park,672.0
2020-01-09,Green,Symphony,1612.0
2020-01-09,Orange,Assembly,3858.0
2020-01-09,Orange,Back Bay,17047.0
2020-01-09,Orange,Chinatown,5327.0
2020-01-09,Orange,Community College,2180.0
2020-01-09,Orange,Downtown Crossing,11558.61
2020-01-09,Orange,Forest Hills,12477.0
2020-01-09,Orange,Green Street,3137.0
2020-01-09,Orange,Haymarket,4693.53
2020-01-09,Orange,Jackson Square,5165.0
2020-01-09,Orange,Malden Center,10835.0
2020-01-09,Orange,Massachusetts Avenue,5367.0
2020-01-09,Orange,North Station,13443.54
2020-01-09,Orange,Oak Grove,6609.0
2020-01-09,Orange,Roxbury Crossing,4846.0
2020-01-09,Orange,Ruggles,9308.0
2020-01-09,Orange,State Street,12538.8
2020-01-09,Orange,Stony Brook,2939.0
2020-01-09,Orange,Sullivan Square,8253.0
2020-01-09,Orange,Tufts Medical Center,6484.0
2020-01-09,Orange,Wellington,7368.0
2020-01-09,Red,Alewife,11811.0
2020-01-09,Red,Andrew,5085.0
2020-01-09,Red,Ashmont,8467.0
2020-01-09,Red,Braintree,4416.0
2020-01-09,Red,Broadway,6191.0
2020-01-09,Red,Central,14135.0
2020-01-09,Red,Charles/MGH,10536.0
2020-01-09,Red,Davis,11693.0
2020-01-09,Red,Downtown Crossing,12030.39
2020-01-09,Red,Fields Corner,4301.0
2020-01-09,Red,Harvard,16206.0
2020-01-09,Red,JFK/UMass,5816.0
2020-01-09,Red,Kendall/MIT,17054.0
2020-01-09,Red,North Quincy,5824.0
2020-01-09,Red,Park Street,6050.52
2020-01-09,Red,Porter,7369.0
2020-01-09,Red,Quincy Adams,3946.0
2020-01-09,Red,Quincy Center,7066.0
2020-01-09,Red,Savin Hill,2121.0
2020-01-09,Red,Shawmut,2168.0
2020-01-09,Red,South Station,17444.0
2020-01-09,Red,Wollaston,3458.0
2020-01-10,Blue,Airport,6960.0
2020-01-10,Blue,Aquarium,4641.0
2020-01-10,Blue,Beachmont,3225.0
2020-01-10,Blue,Bowdoin,1978.0
2020-01-10,Blue,Government Center,706.7
2020-01-10,Blue,Maverick,11586.0
2020-01-10,Blue,Orient Heights,4402.0
2020-01-10,Blue,Revere Beach,3003.0
2020-01-10,Blue,State Street,1359.8999999999999
2020-01-10,Blue,Suffolk Downs,830.0
2020-01-10,Blue,Wonderland,6215.0
2020-01-10,Blue,Wood Island,2075.0
2020-01-10,Green,Arlington,6027.0
2020-01-10,Green,Boylston,4904.0
2020-01-10,Green,Copley,11380.0
2020-01-10,Green,Government Center,6360.3
2020-01-10,Green,Haymarket,5249.86
2020-01-10,Green,Hynes Convention Center,6046.0
2020-01-10,Green,Kenmore,5378.0
2020-01-10,Green,Lechmere,5195.0
2020-01-10,Green,North Station,5381.86
2020-01-10,Green,Park Street,8665.78
2020-01-10,Green,Prudential,3123.0
2020-01-10,Green,Riverside,1273.0
2020-01-10,Green,Science Park,682.0
2020-01-10,Green,Symphony,1731.0
2020-01-10,Orange,Assembly,3737.0
2020-01-10,Orange,Back Bay,15741.0
2020-01-10,Orange,Chinatown,5621.0
2020-01-10,Orange,Community College,2739.0
2020-01-10,Orange,Downtown Crossing,11609.08
2020-01-10,Orange,Forest Hills,12413.0
2020-01-10,Orange,Green Street,3066.0
2020-01-10,Orange,Haymarket,5464.14
2020-01-10,Orange,Jackson Square,5387.0
